permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
9025289,8,otc alterations permit,1990-12-11T00:00:00.000,3598,080,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-07-10T00:00:00.000,complete,1991-07-10T00:00:00.000,708,Guerrero,St,94110.0,2 family dwelling,2 family dwelling,2.0,2.0,2000.0,,N,Y,8.0,Mission,318286161024,2025-08-07T23:55:01.000,POINT (-122.423880458 37.759731201),eas_address_point
9025291,8,otc alterations permit,1990-12-11T00:00:00.000,5673,032,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-02-12T00:00:00.000,complete,1991-02-12T00:00:00.000,147,Kingston,St,94110.0,2 family dwelling,2 family dwelling,2.0,2.0,1300.0,,N,Y,9.0,Bernal Heights,318287186571,2025-08-07T23:55:01.000,POINT (-122.421528462 37.741588751),eas_address_point
9025292,3,additions alterations or repairs,1990-12-11T00:00:00.000,0262,020,1990-12-11T00:00:00.000,1991-01-16T00:00:00.000,1991-01-16T00:00:00.000,1991-04-02T00:00:00.000,complete,1991-04-02T00:00:00.000,100,Pine,St,94111.0,office,office,0.0,0.0,41300.0,,N,Y,3.0,Financial District/South Beach,31828866079,2025-08-07T23:55:01.000,POINT (-122.398970332 37.79264073),eas_address_point
9025293,8,otc alterations permit,1990-12-11T00:00:00.000,2747,010,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-01-07T00:00:00.000,complete,1991-01-07T00:00:00.000,3539,Market,St,94114.0,1 family dwelling,1 family dwelling,1.0,1.0,6600.0,,N,Y,8.0,Twin Peaks,318289143156,2025-08-07T23:55:01.000,POINT (-122.441157858 37.7566378),eas_address_point
9025296,8,otc alterations permit,1990-12-11T00:00:00.000,2652,008,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,,expired,1991-12-23T00:00:00.000,4333,17th,St,94114.0,1 family dwelling,1 family dwelling,1.0,1.0,1000.0,,N,Y,8.0,Castro/Upper Market,318291140894,2025-08-07T23:55:01.000,POINT (-122.441110722 37.761956458),eas_address_point
9025303,8,otc alterations permit,1990-12-11T00:00:00.000,4210,028,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-06-11T00:00:00.000,complete,1991-06-11T00:00:00.000,1115,York,St,94110.0,2 family dwelling,2 family dwelling,2.0,2.0,19000.0,,N,Y,9.0,Mission,318296172073,2025-08-07T23:55:01.000,POINT (-122.408006257 37.753846715),eas_address_point
9025310,8,otc alterations permit,1990-12-11T00:00:00.000,1828,002D,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-04-15T00:00:00.000,complete,1991-04-15T00:00:00.000,1431,25th,Av,94122.0,2 family dwelling,2 family dwelling,2.0,2.0,9500.0,,N,Y,4.0,Sunset/Parkside,318306116153,2025-08-07T23:55:01.000,POINT (-122.483708752 37.760780074),eas_address_point
9025312,3,additions alterations or repairs,1990-12-11T00:00:00.000,3735,010,1990-12-11T00:00:00.000,1990-12-13T00:00:00.000,1990-12-13T00:00:00.000,1991-01-09T00:00:00.000,complete,1991-01-09T00:00:00.000,620,Folsom,St,94107.0,office,office,0.0,0.0,55000.0,,N,Y,6.0,Financial District/South Beach,318308165575,2025-08-07T23:55:01.000,POINT (-122.397582467 37.785270577),eas_address_point
9025313,6,demolitions,1990-12-11T00:00:00.000,3514,036A,1990-12-11T00:00:00.000,,,,filing,1990-12-11T00:00:00.000,1601,Mission,St,94103.0,auto repairs,,0.0,,,,N,Y,6.0,Mission,318309156501,2025-08-07T23:55:01.000,POINT (-122.418763249 37.772040732),eas_address_point
9025315,8,otc alterations permit,1990-12-11T00:00:00.000,6656,037,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-01-25T00:00:00.000,complete,1991-01-25T00:00:00.000,1851,Church,St,94131.0,2 family dwelling,2 family dwelling,2.0,2.0,7500.0,0.0,N,Y,8.0,Glen Park,318312210166,2025-08-07T23:55:01.000,POINT (-122.426426927 37.740879809),eas_address_point
9025317,8,otc alterations permit,1990-12-11T00:00:00.000,1636,033,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-05-21T00:00:00.000,complete,1991-05-21T00:00:00.000,718,Cabrillo,St,94118.0,2 family dwelling,2 family dwelling,2.0,2.0,1200.0,,N,Y,1.0,Inner Richmond,318313288051,2025-08-07T23:55:01.000,POINT (-122.466476584 37.775498397),eas_address_point
9025318,8,otc alterations permit,1990-12-11T00:00:00.000,3747,017,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-02-08T00:00:00.000,complete,1991-02-08T00:00:00.000,345,Folsom,St,94105.0,workshop commercial,workshop commercial,0.0,0.0,4000.0,,N,Y,6.0,Financial District/South Beach,318314165783,2025-08-07T23:55:01.000,POINT (-122.392847831 37.788019445),eas_address_point
9025321,8,otc alterations permit,1990-12-11T00:00:00.000,7118,030,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-09-24T00:00:00.000,complete,1991-09-24T00:00:00.000,134,Ramsell,St,94132.0,1 family dwelling,1 family dwelling,0.0,0.0,3100.0,,N,Y,11.0,Oceanview/Merced/Ingleside,318318222375,2025-08-07T23:55:01.000,POINT (-122.465909014 37.7131653),eas_address_point
