OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
7431,LRA,-3,NonWildland,571.5853936672211,142.27978193869657
7432,LRA,-3,NonWildland,440.1833162307739,96.50106602522379
7433,LRA,-3,NonWildland,449.29966711997986,117.88302233830525
7434,LRA,-3,NonWildland,110.84030437469482,52.68985361774088
7435,LRA,-3,NonWildland,433.64191246032715,122.99605312041747
7436,LRA,-3,NonWildland,2200.0062325000763,432.70703749231484
7437,LRA,-3,NonWildland,87.64138579368591,45.04153087196362
7438,LRA,-3,NonWildland,1124.8354301452637,216.72361648718473
7439,LRA,-3,NonWildland,1.6040868759155273,6.119248257275149
7440,LRA,-3,NonWildland,655.6765048503876,124.34277992255491
7441,LRA,-3,NonWildland,687.451343536377,140.68960766848963
7442,LRA,-3,NonWildland,451.0078055858612,112.38447105419709
7443,LRA,-3,NonWildland,470.7008783817291,147.34126155762283
7444,LRA,-3,NonWildland,2373.9929320812225,387.8474074402088
7445,LRA,-3,NonWildland,859.9288573265076,151.7022019755202
7446,LRA,-3,NonWildland,372.8557481765747,103.5011853361147
7447,LRA,-3,NonWildland,264.20456314086914,101.68471097186652
7448,LRA,-3,NonWildland,417.7524755001068,173.67108445353335
7449,LRA,-3,NonWildland,1464.8259365558624,267.4086591680244
7450,LRA,-3,NonWildland,70.22967910766602,83.1696955810084
7451,LRA,-3,NonWildland,277.31284379959106,156.39591704185162
7452,LRA,-3,NonWildland,744.7082605361938,140.94744491436333
7453,LRA,-3,NonWildland,13.373726606369019,22.71926234415323
7454,LRA,-3,NonWildland,40.828283071517944,33.6485534118497
7455,LRA,-3,NonWildland,26.47005319595337,25.654979278317334
7456,LRA,-3,NonWildland,241.43574738502502,80.8473994366143
7457,LRA,-3,NonWildland,555.5678124427795,130.7026369284651
7458,LRA,-3,NonWildland,271.4253098964691,69.37394447438115
7459,LRA,-3,NonWildland,6.847301959991455,20.000925968304948
7460,LRA,-3,NonWildland,400.68441820144653,189.61152159015927
7461,LRA,-3,NonWildland,738.1299254894257,244.64310620987672
7462,LRA,-3,NonWildland,736.5739212036133,165.62332894012724
7463,LRA,-3,NonWildland,306.8515305519104,86.48441049857821
7464,LRA,-3,NonWildland,40.184834003448486,57.98194885600971
7465,LRA,-3,NonWildland,68.62510800361633,65.02907785908562
7466,LRA,-3,NonWildland,4.46002197265625,10.482508964844556
7467,LRA,-3,NonWildland,169.5861461162567,71.75730087588076
7468,LRA,-3,NonWildland,112.12592506408691,71.14905337656131
7469,LRA,-3,NonWildland,40.6338369846344,31.18575396133881
7470,LRA,-3,NonWildland,116.7822334766388,52.34448075726312
7471,LRA,-3,NonWildland,1685.4248917102814,448.10177212630856
7472,LRA,-3,NonWildland,110.54774403572083,46.03318635254664
7473,LRA,-3,NonWildland,108900.00000047684,1980.0
7474,LRA,-3,NonWildland,3328200.0000038147,18299.9999999851
7475,LRA,-3,NonWildland,259200.00000190735,3300.0
7478,LRA,-3,NonWildland,156761.51454985142,2241.1012350822007
7479,LRA,-3,NonWildland,171899.99999916553,3359.9999999925494
7480,LRA,-3,NonWildland,254003.64423793554,3418.3354679746976
7483,LRA,-3,NonWildland,156600.00000047684,2939.9999999962747
7484,LRA,-3,NonWildland,1098000.0000019073,8820.000000014901
7555,LRA,-3,NonWildland,14743997224.0173,4946668.4052719595
7730,LRA,1,Moderate,58249943.86656618,217643.1737265768
7731,LRA,1,Moderate,112671.3796133995,2894.696063454692
7732,LRA,1,Moderate,9635007.579458237,66977.21488524202
7734,LRA,1,Moderate,74331.25111103058,1918.2949552168016
7735,LRA,1,Moderate,1228428.3237395287,6130.7976771822605
7736,LRA,1,Moderate,1594873.339521408,17907.32305428995
7738,LRA,1,Moderate,5699051.720099926,51681.107901371164
7739,LRA,1,Moderate,427088.57078409195,9629.245485330859
7741,LRA,1,Moderate,2544658.7888484,18302.314803458667
7742,LRA,1,Moderate,4926367.129732132,35384.396895388774
7743,LRA,1,Moderate,25110.454008340836,1069.4722879575388
7744,LRA,1,Moderate,6635881.420545578,39577.43116529904
7745,LRA,1,Moderate,3947400.0000019073,11819.999999988824
7750,LRA,1,Moderate,4573105.361511707,40133.21460305932
7752,LRA,1,Moderate,2162143.8477232456,14247.575444526356
7753,LRA,1,Moderate,35248170.455093145,132285.27359080175
7754,LRA,1,Moderate,200937.21010923386,4346.672602136161
7755,LRA,1,Moderate,2542225.2201008797,17584.23271506792
7756,LRA,1,Moderate,1142999.9999990463,5820.0
7757,LRA,1,Moderate,552710.7365694046,6237.192801661544
7758,LRA,1,Moderate,483734.1775920391,14387.312131489198
7759,LRA,1,Moderate,174190.1057152748,4876.451147080625
7760,LRA,1,Moderate,89700.60753417015,2765.175146712073
7761,LRA,1,Moderate,270900.0000009537,4020.0000000074506
7763,LRA,1,Moderate,1920599.9999995232,8460.000000022352
7764,LRA,1,Moderate,865036.8820528984,16644.439384102126
7766,LRA,1,Moderate,1246500.0000009537,27479.99999997765
7767,LRA,1,Moderate,530604.6985789537,20207.02793225098
7768,LRA,1,Moderate,193291.34869122505,5351.19105363637
7769,LRA,1,Moderate,2245297.7464609146,20696.97216809793
7770,LRA,1,Moderate,2773317.30093503,32392.124302772245
7771,LRA,1,Moderate,294332.06981921196,3412.8276937746205
7772,LRA,1,Moderate,2632349.8211363554,33647.66126515212
7774,LRA,1,Moderate,89099.99999952316,2159.9999999925494
7775,LRA,1,Moderate,21364967.398271322,263778.23483281507
7776,LRA,1,Moderate,9405388.974909425,48425.86681857689
7777,LRA,1,Moderate,1279259.1748182178,38986.652447342436
7778,LRA,1,Moderate,5048275.274142146,72580.1113774656
7779,LRA,1,Moderate,363499.7963026166,5328.381102675056
7781,LRA,1,Moderate,146164.15564236045,2514.514637429197
7782,LRA,1,Moderate,414715.29923301935,7192.753416179863
7783,LRA,1,Moderate,1181700.000000134,5460.000000003725
7784,LRA,1,Moderate,22552.523203261197,1280.553929054136
7785,LRA,1,Moderate,1710432.5556779504,27891.145886506016
7786,LRA,1,Moderate,250855.49061549827,3502.2946701543833
7788,LRA,1,Moderate,13220433.658433348,48563.87774868906
7789,LRA,1,Moderate,228693.01339221746,5382.7005377919895
7790,LRA,1,Moderate,31005.195000991225,1121.1088714476932
7791,LRA,1,Moderate,328968.5029681772,11359.812388617385
